,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Win Ratio,Has 2 Types
0,1,Bulbasaur,Grass,Poison,low_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
1,2,Ivysaur,Grass,Poison,medium_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,True
2,3,Venusaur,Grass,Poison,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
3,4,Mega Venusaur,Grass,Poison,medium_hp,medium_attack,high_defense,medium_sp_atk,high_sp_def,medium_speed,1,False,medium_win_ratio,True
4,5,Charmander,Fire,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,medium_win_ratio,False
5,6,Charmeleon,Fire,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
6,7,Charizard,Fire,Flying,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
7,8,Mega Charizard X,Fire,Dragon,medium_hp,high_attack,high_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
8,9,Mega Charizard Y,Fire,Flying,medium_hp,medium_attack,medium_defense,high_sp_atk,high_sp_def,medium_speed,1,False,high_win_ratio,True
9,10,Squirtle,Water,,low_hp,low_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,False
10,11,Wartortle,Water,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,False
11,12,Blastoise,Water,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
12,13,Mega Blastoise,Water,,medium_hp,medium_attack,high_defense,high_sp_atk,high_sp_def,medium_speed,1,False,low_win_ratio,False
13,14,Caterpie,Bug,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,False
14,15,Metapod,Bug,,low_hp,low_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
15,16,Butterfree,Bug,Flying,medium_hp,low_attack,low_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,True
16,17,Weedle,Bug,Poison,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,True
17,18,Kakuna,Bug,Poison,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
18,19,Beedrill,Bug,Poison,medium_hp,medium_attack,low_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
19,20,Mega Beedrill,Bug,Poison,medium_hp,high_attack,low_defense,low_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,True
